study_year,duration,attained_age,sex,smoker,uw_key,uw_requirements,substandard_indicator,product,face_amount_at_issue,sg_prem_type,sg_status,response,weight
2016,17,47,Male,NS,Aggregate,1,0,Term,300000,,,1,1
2017,15,39,Female,NS,Preferred,1,0,Term,100000,,,1,1
2014,17,48,Male,NS,Aggregate,1,0,Term,500000,,,1,1
2015,16,55,Male,NS,Aggregate,1,1,Term,1000000,,,0,1
2015,15,41,Female,NS,Standard,1,0,Term,250000,,,0,1
2015,9,62,Female,NS,Preferred,1,0,WL,119240,,,0,1
2014,16,62,Female,NS,Aggregate,1,0,VULSG,600000,0,,0,1
2014,35,83,Male,US,Aggregate,6,0,WL,50000,,,0,1
2017,26,38,Male,US,Aggregate,1,0,WL,25000,,,0,1
2017,3,53,Male,NS,Preferred,1,0,Term,5000000,,,0,1
2016,4,42,Male,NS,Aggregate,1,0,Term,500000,,,1,1
2018,32,70,Male,US,Aggregate,6,0,WL,50000,,,0,1
2014,1,20,Male,NS,Aggregate,1,0,WL,50000,,,1,1
2016,1,51,Female,NS,Standard,1,0,WL,33121,,,0,1
2018,9,37,Male,NS,Standard,1,0,Term,300000,,,1,1
2018,9,39,Male,NS,Standard,1,0,WL,500000,,,1,1
2016,9,63,Male,NS,Aggregate,1,0,Term,500000,,,1,1
2016,46,65,Male,US,Aggregate,1,0,WL,10000,,,0,1
2016,2,29,Male,NS,Aggregate,1,0,WL,1275000,,,0,1
2015,24,28,Male,US,Aggregate,1,0,WL,53101,,,0,1
2017,13,43,Male,NS,Aggregate,1,0,WL,150000,,,0,1
2016,13,29,Female,US,Aggregate,1,0,WL,50000,,,1,1
2014,10,54,Male,SM,Preferred,1,0,Term,515000,,,1,1
2017,14,43,Male,US,Aggregate,6,0,WL,100000,,,0,1
2016,40,58,Male,US,Aggregate,1,0,WL,25000,,,1,1
2016,6,38,Female,NS,Preferred,1,0,WL,250598,,,1,1
2017,4,36,Female,SM,Standard,1,0,NF,24964,,,1,1
2017,6,57,Female,NS,Preferred,1,0,Term,500000,,,1,1
2015,3,38,Male,NS,Aggregate,1,0,Term,1500000,,,1,1
2014,2,40,Female,NS,Aggregate,1,0,Term,500000,,,0,1
2016,22,62,Female,US,Aggregate,6,0,WL,100000,,,0,1
2016,1,47,Female,NS,Aggregate,1,0,Term,500000,,,0,1
2018,2,33,Male,NS,Preferred,1,0,Term,500000,,,1,1
2016,1,41,Male,NS,Standard,1,0,Term,1000000,,,1,1
2017,9,41,Female,NS,Aggregate,1,0,Term,600000,,,0,1
2015,1,27,Male,NS,Standard,1,0,Term,250000,,,0,1
2015,57,72,Female,US,Aggregate,6,0,WL,5000,,,0,1
2015,31,56,Male,US,Aggregate,1,0,WL,150000,,,0,1
2016,2,38,Male,SM,Standard,1,0,Term,200000,,,1,1
2014,2,41,Male,NS,Aggregate,1,0,Term,1500000,,,0,1
2017,10,65,Female,NS,Aggregate,1,0,Term,100000,,,1,1
2014,51,64,Male,US,Aggregate,1,0,WL,10000,,,1,1
2014,39,60,Male,US,Aggregate,1,0,WL,50000,,,0,1
2018,43,76,Male,US,Aggregate,1,0,WL,6940,,,0,1
2018,59,88,Male,US,Aggregate,1,0,WL,10000,,,0,1
2017,59,80,Female,US,Aggregate,1,0,NF,2000,,,0,1
2018,22,27,Female,US,Aggregate,1,0,WL,50000,,,1,1
2015,23,69,Male,NS,Aggregate,1,0,WL,600000,,,0,1
2016,51,69,Female,US,Aggregate,1,0,WL,2500,,,0,1
2015,2,38,Male,SM,Standard,1,0,Term,441831,,,0,1
2017,3,26,Male,NS,Preferred,1,0,WL,129203,,,1,1
2018,37,69,Female,NS,Aggregate,1,0,WL,5000,,,0,1
2017,54,88,Male,US,Aggregate,1,0,WL,10000,,,0,1
2014,43,60,Male,US,Aggregate,1,0,WL,50000,,,0,1
2018,50,51,Male,US,Aggregate,1,0,WL,2000,,,0,1
2016,1,5,Female,US,Aggregate,1,0,WL,117173,,,0,1
2016,52,67,Male,US,Aggregate,1,0,WL,10000,,,0,1
2017,8,34,Female,NS,Aggregate,1,0,Term,750000,,,1,1
2018,17,64,Male,NS,Aggregate,1,1,Term,350000,,,0,1
2018,26,56,Female,US,Aggregate,1,0,WL,50000,,,0,1
2015,35,55,Male,US,Aggregate,1,0,WL,75000,,,0,1
2015,9,46,Male,SM,Standard,1,0,WL,150000,,,0,1
2017,10,45,Male,NS,Preferred,1,0,WL,250000,,,0,1
2017,1,27,Female,NS,Aggregate,1,0,Term,150000,,,1,1
2015,6,67,Male,NS,Aggregate,1,0,Term,1500000,,,1,1
2018,16,48,Male,NS,Standard,1,0,VULSG,1000000,0,0,0,1
2017,23,65,Male,NS,Standard,1,0,WL,20000,,,0,1
2014,7,8,Male,US,Aggregate,1,0,NF,100000,,,1,1
2016,38,50,Female,US,Aggregate,1,0,WL,25000,,,1,1
2015,4,31,Male,NS,Aggregate,1,0,Term,150000,,,1,1
2014,48,87,Male,US,Aggregate,6,0,NF,20000,,,0,1
2017,40,69,Male,US,Aggregate,1,0,WL,60000,,,0,1
2014,39,44,Male,US,Aggregate,1,0,WL,10000,,,0,1
2016,22,48,Female,NS,Aggregate,1,0,WL,10000,,,1,1
2016,1,26,Female,NS,Aggregate,1,0,WL,227094,,,0,1
2017,29,72,Male,NS,Aggregate,1,0,Term,100000,,,1,1
2015,29,63,Male,NS,Aggregate,1,0,Term,100000,,,1,1
2018,29,49,Male,NS,Aggregate,1,0,WL,200000,,,0,1
2015,2,22,Female,NS,Aggregate,1,0,Term,250000,,,1,1
2018,4,12,Female,US,Aggregate,1,0,WL,144955,,,1,1
2016,1,46,Male,NS,Standard,1,0,Term,700000,,,1,1
2015,28,56,Male,NS,Aggregate,1,0,WL,100000,,,0,1
2018,8,56,Male,NS,Preferred,1,0,Term,400000,,,1,1
2014,2,39,Female,NS,Aggregate,1,0,WL,835744,,,0,1
2015,15,37,Male,NS,Standard,1,0,Term,250000,,,1,1
2016,16,31,Male,SM,Preferred,1,0,WL,100000,,,0,1
2014,16,44,Male,SM,Aggregate,1,1,Term,600000,,,1,1
2018,15,51,Male,NS,Preferred,1,0,Term,350000,,,0,1
2015,3,20,Male,US,Aggregate,1,0,WL,25000,,,1,1
2015,6,45,Male,NS,Aggregate,1,0,Term,500000,,,0,1
2015,5,36,Male,US,Aggregate,6,0,WL,50000,,,1,1
2017,10,61,Female,NS,Preferred,1,0,ULSG,100000,0,,0,1
2016,54,76,Male,US,Aggregate,1,0,WL,10000,,,0,1
2014,1,30,Male,SM,Preferred,1,0,Term,350000,,,1,1
2016,3,38,Female,NS,Standard,1,0,Term,1000000,,,0,1
2018,20,28,Male,US,Aggregate,1,0,WL,1000000,,,0,1
2017,20,74,Male,NS,Preferred,1,0,WL,60000,,,1,1
2017,12,40,Male,NS,Preferred,1,0,Term,1000000,,,1,1
2014,46,73,Male,US,Aggregate,1,0,WL,10000,,,0,1
2016,9,51,Female,NS,Aggregate,1,0,Term,250000,,,1,1
2017,1,37,Female,NS,Aggregate,1,0,Term,500000,,,1,1
2014,4,47,Male,NS,Aggregate,1,0,WL,200000,,,0,1
2014,2,25,Male,NS,Aggregate,1,0,WL,102827,,,1,1
2017,1,49,Female,NS,Aggregate,1,0,WL,3000000,,,0,1
2014,10,55,Male,NS,Standard,1,0,WL,300000,,,0,1
2018,10,11,Male,US,Aggregate,1,0,WL,40694,,,0,1
2016,10,36,Female,NS,Standard,1,0,WL,50000,,,0,1
2017,28,57,Male,NS,Aggregate,1,0,WL,50000,,,0,1
2016,54,73,Male,US,Aggregate,6,0,NF,5000,,,0,1
2016,35,52,Male,US,Aggregate,1,0,WL,25000,,,0,1
2015,34,62,Female,US,Aggregate,1,0,Term,25000,,,0,1
2014,22,30,Male,US,Aggregate,1,0,WL,10000,,,1,1
2016,17,78,Male,NS,Aggregate,1,1,WL,150000,,,1,1
2018,5,56,Male,NS,Preferred,1,0,Term,450000,,,1,1
2017,7,38,Female,NS,Aggregate,6,0,IULNG,1500000,,,0,1
2018,37,65,Male,US,Aggregate,1,0,WL,25000,,,0,1
2016,15,61,Male,NS,Preferred,1,0,VULSG,500000,0,,0,1
2014,2,28,Male,NS,Aggregate,1,0,Term,3000000,,,0,1
2017,10,48,Male,NS,Preferred,1,0,NF,279428,,,0,1
2016,54,58,Female,US,Aggregate,1,0,WL,2000,,,0,1
2016,3,61,Female,NS,Aggregate,1,0,WL,5000,,,1,1
2018,40,58,Female,US,Aggregate,1,0,WL,10000,,,0,1
2014,40,64,Female,US,Aggregate,1,0,NF,10000,,,0,1
2017,39,53,Male,US,Aggregate,1,0,WL,25000,,,1,1
2015,8,38,Male,US,Aggregate,6,0,WL,500000,,,1,1
2014,33,58,Male,US,Aggregate,6,0,WL,50000,,,0,1
2014,23,30,Male,US,Aggregate,1,0,WL,25000,,,0,1
2015,3,42,Male,NS,Standard,1,0,WL,45128,,,1,1
2015,11,38,Female,NS,Aggregate,1,0,WL,1000000,,,0,1
2017,2,79,Male,NS,Preferred,1,0,ULSG,300000,0,0,0,1
2015,1,71,Male,NS,Standard,1,0,ULSG,75000,0,0,0,1
2018,60,59,Male,US,Aggregate,1,0,WL,1000,,,0,1
2017,2,13,Male,US,Aggregate,1,0,WL,350000,,,0,1
2014,2,14,Female,US,Aggregate,1,0,WL,25000,,,0,1
2014,49,74,Male,US,Aggregate,1,0,WL,100000,,,0,1
2017,32,58,Male,US,Aggregate,1,0,WL,50000,,,0,1
2014,32,62,Male,US,Aggregate,1,0,WL,100000,,,0,1
2015,32,67,Male,US,Aggregate,6,0,WL,100000,,,0,1
2017,1,51,Male,NS,Standard,1,0,Term,750000,,,1,1
2018,31,69,Male,NS,Aggregate,1,0,WL,200000,,,0,1
2014,10,54,Male,NS,Standard,1,0,Term,300000,,,1,1
2018,11,50,Male,NS,Standard,1,0,Term,300000,,,0,1
2014,40,69,Female,US,Aggregate,6,0,WL,111984,,,0,1
2015,2,45,Male,NS,Aggregate,1,0,Term,1000000,,,0,1
2014,2,42,Male,NS,Standard,1,0,Term,100000,,,1,1
2015,2,35,Female,NS,Aggregate,1,0,Term,100000,,,1,1
2018,9,54,Male,NS,Aggregate,1,0,Term,500000,,,1,1
2014,24,53,Male,NS,Aggregate,1,0,ULNG,100000,,,1,1
2015,36,83,Female,NS,Aggregate,1,0,WL,10000,,,0,1
2017,16,46,Male,NS,Preferred,1,0,Term,250000,,,1,1
2014,3,40,Male,NS,Aggregate,1,0,Term,300000,,,0,1
2016,3,26,Female,NS,Aggregate,1,0,Term,500000,,,0,1
2017,21,53,Female,NS,Preferred,1,0,Term,500000,,,1,1
2017,32,57,Female,NS,Aggregate,1,0,WL,70000,,,0,1
2015,34,65,Male,NS,Aggregate,1,0,WL,20000,,,1,1
2018,10,42,Male,US,Aggregate,6,0,WL,50000,,,0,1
2018,10,72,Female,NS,Preferred,1,0,Term,300000,,,1,1
2014,11,48,Female,NS,Preferred,1,0,Term,250000,,,1,1
2014,13,52,Female,US,Aggregate,6,0,WL,100000,,,0,1
2017,2,4,Male,US,Aggregate,1,0,WL,273503,,,1,1
2014,4,48,Male,NS,Preferred,1,0,Term,3900000,,,1,1
2015,3,31,Male,NS,Preferred,1,0,Term,250000,,,0,1
2015,2,49,Male,NS,Standard,1,0,Term,150000,,,0,1
2018,2,30,Male,NS,Standard,1,0,Term,100000,,,1,1
2018,2,22,Male,NS,Aggregate,1,0,WL,145349,,,0,1
2017,2,33,Male,NS,Aggregate,1,0,WL,119902,,,0,1
2018,2,7,Male,US,Aggregate,1,0,WL,1000000,,,0,1
2016,1,30,Female,SM,Preferred,1,0,Term,500000,,,1,1
2018,46,87,Male,US,Aggregate,1,0,WL,15590,,,0,1
2016,29,54,Male,NS,Aggregate,1,0,WL,20000,,,0,1
2018,10,49,Female,NS,Preferred,1,0,Term,500000,,,1,1
2016,6,15,Male,US,Aggregate,1,0,ULNG,25000,,,0,1
2015,63,87,Male,US,Aggregate,6,0,WL,15000,,,0,1
2017,2,30,Male,NS,Standard,1,0,IULNG,200000,,,1,1
2018,12,36,Male,NS,Standard,1,0,Term,250000,,,1,1
2014,9,46,Male,NS,Standard,1,0,Term,500000,,,0,1
2017,8,35,Male,NS,Aggregate,1,0,WL,100000,,,0,1
2015,1,37,Male,NS,Aggregate,1,0,Term,1000000,,,0,1
2018,2,45,Male,NS,Aggregate,1,0,Term,150000,,,1,1
2018,2,52,Female,NS,Preferred,1,0,Term,500000,,,1,1
2015,1,43,Male,NS,Standard,1,0,Term,100000,,,1,1
2014,1,26,Male,NS,Aggregate,1,0,Term,150000,,,1,1
2018,18,32,Female,US,Aggregate,1,0,NF,5000,,,1,1
2014,29,28,Male,US,Aggregate,1,0,ULNG,10000,,,1,1
2015,1,29,Female,NS,Aggregate,1,0,Term,500000,,,0,1
2017,1,44,Male,NS,Aggregate,1,0,Term,500000,,,0,1
2016,1,44,Male,NS,Aggregate,1,0,Term,500000,,,0,1
2018,3,44,Female,NS,Preferred,1,0,WL,282458,,,0,1
2016,5,31,Male,NS,Aggregate,1,0,WL,25000,,,0,1
2017,35,36,Male,US,Aggregate,1,0,WL,50000,,,0,1
2018,5,30,Female,NS,Aggregate,1,1,Term,500000,,,0,1
2014,4,41,Male,NS,Preferred,1,0,Term,750000,,,1,1
2016,1,25,Male,NS,Aggregate,1,0,IULNG,1000000,,,0,1
2018,10,37,Male,NS,Preferred,1,0,Term,1000000,,,0,1
2016,3,35,Female,NS,Aggregate,1,0,Term,1000000,,,0,1
2015,3,28,Male,NS,Preferred,1,0,Term,1000000,,,0,1
2015,46,74,Male,US,Aggregate,1,0,WL,25000,,,1,1
2014,42,44,Male,US,Aggregate,1,0,WL,10000,,,0,1
2016,32,60,Male,NS,Aggregate,1,0,ULNG,500,,,1,1
2017,20,54,Male,NS,Preferred,1,0,Term,250000,,,1,1
2018,13,54,Male,NS,Preferred,1,0,Term,200000,,,1,1
2015,25,59,Male,NS,Standard,1,0,ULNG,100000,,,1,1
2016,8,61,Male,NS,Preferred,1,0,Term,1000000,,,1,1
2018,40,81,Female,US,Aggregate,1,0,WL,1000,,,0,1
2015,6,60,Female,NS,Standard,1,0,Term,300000,,,1,1
2018,5,42,Female,NS,Aggregate,1,0,Term,2000000,,,0,1
2015,25,50,Female,NS,Aggregate,1,0,WL,25000,,,0,1
2017,79,79,Male,US,Aggregate,1,0,NF,2000,,,0,1
2016,9,43,Male,US,Aggregate,6,0,WL,100000,,,1,1
2018,8,47,Male,NS,Aggregate,1,0,WL,50000,,,0,1
2017,7,42,Male,NS,Aggregate,1,0,Term,100000,,,1,1
2016,14,14,Female,US,Aggregate,1,0,WL,25000,,,1,1
2014,38,53,Female,US,Aggregate,1,0,WL,1000,,,0,1
2016,4,43,Female,NS,Standard,1,0,WL,100000,,,1,1
2016,20,53,Female,NS,Standard,1,0,Term,100000,,,1,1
2018,29,64,Female,NS,Aggregate,1,0,WL,10000,,,1,1
2017,20,66,Male,NS,Aggregate,1,0,Term,350000,,,1,1
2018,42,77,Female,US,Aggregate,1,0,WL,1000,,,0,1
2018,32,58,Female,NS,Aggregate,1,0,WL,20000,,,0,1
2015,31,32,Male,US,Aggregate,1,0,WL,88622,,,1,1
2017,32,59,Female,NS,Aggregate,1,0,WL,5000,,,1,1
2018,5,51,Female,NS,Aggregate,6,0,ULNG,15000,,,1,1
2015,16,23,Female,US,Aggregate,1,0,NF,10000,,,1,1
2016,1,23,Male,NS,Aggregate,6,0,ULNG,25000,,,1,1
2015,2,7,Female,US,Aggregate,1,0,WL,50000,,,0,1
2015,28,64,Male,NS,Aggregate,1,0,ULNG,120000,,,1,1
2017,28,59,Male,US,Aggregate,1,0,Term,250000,,,0,1
2016,9,35,Female,NS,Aggregate,1,0,Term,200000,,,0,1
2015,11,33,Female,NS,Preferred,1,0,Term,250000,,,0,1
2016,11,44,Female,NS,Preferred,1,0,Term,500000,,,0,1
2016,22,77,Female,US,Aggregate,1,0,NF,2000,,,0,1
2017,4,54,Female,NS,Standard,9,0,IULNG,50000,,,0,1
2017,9,41,Female,NS,Standard,1,0,Term,500000,,,1,1
2014,10,48,Female,NS,Aggregate,1,0,Term,1000000,,,0,1
2014,11,47,Female,NS,Aggregate,1,0,Term,1000000,,,1,1
2016,27,44,Female,US,Aggregate,6,0,WL,50000,,,0,1
2015,27,69,Male,NS,Aggregate,1,0,ULNG,50000,,,0,1
2015,1,36,Male,NS,Aggregate,1,0,WL,50000,,,0,1
2018,1,24,Female,NS,Aggregate,1,0,IULNG,75000,,,1,1
2018,39,57,Female,US,Aggregate,1,0,NF,2000,,,0,1
2015,4,40,Male,NS,Preferred,1,0,Term,750000,,,0,1
2015,3,29,Female,NS,Aggregate,1,0,WL,169000,,,0,1
2015,3,35,Male,NS,Preferred,1,0,Term,1000000,,,0,1
2014,4,38,Male,NS,Preferred,1,0,WL,100000,,,0,1
2017,4,39,Female,NS,Standard,1,0,WL,150000,,,1,1
2015,11,40,Male,NS,Preferred,1,0,Term,500000,,,1,1
2015,56,81,Female,US,Aggregate,1,0,WL,5000,,,0,1
2018,4,50,Male,NS,Aggregate,1,0,Term,500000,,,1,1
2015,1,39,Male,NS,Standard,1,0,WL,500000,,,0,1
2014,19,46,Male,NS,Standard,1,0,WL,100000,,,1,1
2015,19,64,Female,NS,Preferred,1,0,Term,100000,,,1,1
2017,11,52,Male,NS,Standard,1,0,Term,1500000,,,1,1
2017,32,52,Female,NS,Aggregate,1,0,ULNG,27916,,,0,1
2014,1,19,Female,NS,Preferred,1,0,Term,400000,,,1,1
2016,22,26,Female,US,Aggregate,1,0,NF,5000,,,1,1
2014,4,45,Female,NS,Standard,9,0,IULNG,50000,,,1,1
2016,4,27,Female,NS,Aggregate,1,0,WL,57500,,,1,1
2016,3,40,Male,NS,Preferred,1,0,Term,100000,,,1,1
2014,8,45,Male,NS,Aggregate,1,0,Term,500000,,,0,1
2015,13,54,Male,NS,Preferred,1,0,Term,400000,,,1,1
2015,26,65,Female,NS,Aggregate,1,0,ULNG,25000,,,0,1
2018,33,72,Male,US,Aggregate,1,0,WL,50000,,,0,1
2015,33,49,Female,US,Aggregate,1,0,WL,5000,,,0,1
2014,24,27,Male,US,Aggregate,1,0,WL,5000,,,0,1
2017,39,59,Male,US,Aggregate,1,0,NF,1000,,,0,1
2014,8,11,Female,US,Aggregate,1,0,NF,30000,,,1,1
2015,4,55,Female,NS,Preferred,1,0,Term,1000000,,,1,1
2018,24,42,Female,NS,Aggregate,1,0,NF,25000,,,0,1
2017,25,59,Male,NS,Aggregate,1,0,ULNG,50000,,,1,1
2018,30,57,Male,US,Aggregate,1,0,Term,100000,,,0,1
2015,9,33,Male,SM,Standard,1,0,Term,250000,,,1,1
2017,12,56,Male,NS,Preferred,1,0,Term,250000,,,0,1
2015,4,14,Male,US,Aggregate,1,0,WL,25000,,,0,1
