Name,Start column,End Column,Description
ACCELI42,924,925   ,PERS ELIGIBLE FOR ACCESS SUPPLEMENT-R4/2
ACTDTY31,239,240   ,MILITARY FULL-TIME ACTIVE DUTY - R3/1
ACTDTY42,241,242   ,MILITARY FULL-TIME ACTIVE DUTY - R4/2
ACTDTY53,243,244   ,MILITARY FULL-TIME ACTIVE DUTY - R5/3
ACTLIM31,465,466   ,ANY LIMITATION WORK/HOUSEWRK/SCHL-RD 3/1
ACTLIM53,467   ,468   ,ANY LIMITATION WORK/HOUSEWRK/SCHL-RD 5/3
ADAPPT42,717   ,718   ,SAQ 12 MOS: # VISITS TO MED OFF FOR CARE
ADCAPE42,769   ,770   ,SAQ 4WKS: FELT CALM/PEACEFUL SF-12V2
ADCLIM42,757   ,758   ,SAQ: HLTH LIMITS CLIMBING STAIRS SF-12V2
ADCMPM42,817   ,818   ,SAQ: DATE COMPLETED - MONTH
ADCMPY42,819   ,822   ,SAQ: DATE COMPLETED - YEAR
ADDAYA42,755   ,756   ,SAQ: HLTH LIMITS MOD ACTIVITIES SF-12V2
ADDOWN42,773   ,774   ,SAQ 4WKS: FELT DOWNHEARTED/DEPR SF-12V2
ADDPRS42,805   ,806   ,SAQ 2 WKS: FELT DOWN/DEPRESSED/HOPELESS
ADDRBP42,747   ,748   ,SAQ 2 YRS: DR CHECKED BLOOD PRESSURE
ADEFRT42,797   ,798   ,SAQ 30 DAYS: HOW OFTN EVRYTHNG AN EFFORT
ADEGMC42,721   ,722   ,SAQ 12MOS: EASY GETTING NEEDED MED CARE
ADESSP42,751   ,752   ,SAQ 12MOS: HOW ESY TO SEE SPECIALIST
ADEXPL42,725   ,726   ,SAQ 12 MOS: DOC EXPLAINED SO UNDERSTOOD
ADEZUN42,733   ,734   ,SAQ 12 MOS: DR GIVEN INSTR. EZ UNDRSTD
ADFFRM42,737   ,738   ,SAQ 12 MOS: HAD TO FILL OUT/SIGN FORMS
ADFHLP42,739   ,740   ,SAQ 12 MOS: OFFRD HELP FILLING OUT FORMS
ADGENH42,753   ,754   ,SAQ: HEALTH IN GENERAL SF-12V2
ADHDADDX,407   ,408   ,ADHDADD DIAGNOSIS (5-17)
ADHDAGED,409   ,410   ,AGE OF DIAGNOSIS-ADHD/ADD
ADHECR42,741   ,742   ,SAQ 12 MOS: RATING OF HEALTH CARE
ADHOPE42,791   ,792   ,SAQ 30 DAYS: HOW OFTEN FELT HOPELESS
ADILCR42,709   ,710   ,SAQ 12MOS: ILL/INJURY NEEDING IMMED CARE
ADILWW42,711   ,712   ,SAQ 12 MOS: GOT CARE WHEN NEEDED ILL/INJ
ADINSA42,809   ,810   ,SAQ: DO NOT NEED HEALTH INSURANCE
ADINSB42,811   ,812   ,SAQ: HEALTH INSURANCE NOT WORTH COST
ADINST42,731   ,732   ,SAQ 12 MOS: DR GAVE SPCIFC INSTRCTNS
ADINTR42,803   ,804   ,SAQ 2 WKS: LITTLE INTEREST IN THINGS
ADLANG42,823   ,824   ,SAQ: LANGUAGE OF SAQ INTERVIEW
ADLHLP31,421   ,422   ,ADL SCREENER - RD 3/1
ADLHLP53,423   ,424   ,ADL SCREENER - RD 5/3
ADLIST42,723   ,724   ,SAQ 12 MOS: DOCTOR LISTENED TO YOU
ADMALS42,763   ,764   ,SAQ 4WKS:ACCMP LESS B/C MNT PRBS SF-12V2
ADMWLM42,765   ,766   ,SAQ 4WKS:WORK LIMT B/C MNT PROBS SF-12V2
ADNDCR42,719   ,720   ,"SAQ 12MOS: NEED ANY CARE, TEST, TREATMNT"
ADNERV42,789   ,790   ,SAQ 30 DAYS: HOW OFTEN FELT NERVOUS
ADNRGY42,771   ,772   ,SAQ 4WKS: HAD A LOT OF ENERGY SF-12V2
ADNSMK42,745   ,746   ,SAQ 12MOS: DR ADVISED TO QUIT SMOKING
ADOVER42,815   ,816   ,SAQ: CAN OVERCOME ILLS WITHOUT MED HELP
ADPAIN42,767   ,768   ,SAQ 4WKS:PAIN LIMITS NORMAL WORK SF-12V2
ADPALS42,759   ,760   ,SAQ 4WKS:ACCMP LESS B/C PHY PRBS SF-12V2
ADPRTM42,729   ,730   ,SAQ 12 MOS: DR SPENT ENUF TIME WITH YOU
ADPRX42,706   ,708   ,SAQ: RELATIONSHIP OF PROXY TO ADULT
